ClusterID,t0_mean_x,t0_mean_y,t0_mean_z,t0_evals_x,t0_evals_y,t0_evals_z,t0_cov(0:0),t0_cov(0:1),t0_cov(0:2),t0_cov(1:0),t0_cov(1:1),t0_cov(1:2),t0_cov(2:0),t0_cov(2:1),t0_cov(2:2),t0_evecs(0:0),t0_evecs(0:1),t0_evecs(0:2),t0_evecs(1:0),t0_evecs(1:1),t0_evecs(1:2),t0_evecs(2:0),t0_evecs(2:1),t0_evecs(2:2),t1_mean_x,t1_mean_y,t1_mean_z,t1_evals_x,t1_evals_y,t1_evals_z,t1_cov(0:0),t1_cov(0:1),t1_cov(0:2),t1_cov(1:0),t1_cov(1:1),t1_cov(1:2),t1_cov(2:0),t1_cov(2:1),t1_cov(2:2),t1_evecs(0:0),t1_evecs(0:1),t1_evecs(0:2),t1_evecs(1:0),t1_evecs(1:1),t1_evecs(1:2),t1_evecs(2:0),t1_evecs(2:1),t1_evecs(2:2),t2_mean_x,t2_mean_y,t2_mean_z,t2_evals_x,t2_evals_y,t2_evals_z,t2_cov(0:0),t2_cov(0:1),t2_cov(0:2),t2_cov(1:0),t2_cov(1:1),t2_cov(1:2),t2_cov(2:0),t2_cov(2:1),t2_cov(2:2),t2_evecs(0:0),t2_evecs(0:1),t2_evecs(0:2),t2_evecs(1:0),t2_evecs(1:1),t2_evecs(1:2),t2_evecs(2:0),t2_evecs(2:1),t2_evecs(2:2),t3_mean_x,t3_mean_y,t3_mean_z,t3_evals_x,t3_evals_y,t3_evals_z,t3_cov(0:0),t3_cov(0:1),t3_cov(0:2),t3_cov(1:0),t3_cov(1:1),t3_cov(1:2),t3_cov(2:0),t3_cov(2:1),t3_cov(2:2),t3_evecs(0:0),t3_evecs(0:1),t3_evecs(0:2),t3_evecs(1:0),t3_evecs(1:1),t3_evecs(1:2),t3_evecs(2:0),t3_evecs(2:1),t3_evecs(2:2),Label
P1409.N794.N22,14.0941,-7.94208,-0.220606,0.043931,0.0680241,0.251384,0.0669923,0.00491812,0.00167594,0.00491812,0.0449802,0.000617084,0.00167594,0.000617084,0.251367,-0.208487,0.977982,-0.00917417,0.978024,0.208466,-0.00320815,-0.00122501,-0.00964142,-0.999953,14.2446,-7.87264,-0.22718,0.0448066,0.0619401,0.25004,0.0615719,0.00248423,-0.000332583,0.00248423,0.0451836,0.00129679,-0.000332583,0.00129679,0.250031,-0.1467,0.98918,0.00168146,0.98916,0.146707,-0.00630974,-0.00648815,0.000737594,-0.999979,14.2211,-7.97416,-0.237589,0.0472268,0.0640935,0.238195,0.0640371,0.00102601,0.00120721,0.00102601,0.0473232,-0.00246362,0.00120721,-0.00246362,0.238155,-0.0618656,-0.998061,0.00685517,0.997996,-0.06195,-0.012869,0.0132687,0.00604529,0.999894,14.3665,-7.74321,-0.171637,0.0439091,0.0667818,0.249852,0.0648376,0.00655712,-0.00502086,0.00655712,0.0459917,0.000828104,-0.00502086,0.000828104,0.249714,0.301405,-0.953113,0.0270145,-0.953431,-0.301596,-0.0031917,0.0111895,-0.0247945,-0.99963,1
P1502.P510.N41,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,15.0212,5.10472,-0.414979,0.0129669,0.116146,0.582191,0.582155,-0.00453004,0.000329291,-0.00453004,0.0130042,0.000366918,0.000329291,0.000366918,0.116144,-0.00796055,-0.000671745,0.999968,-0.999962,0.00358691,-0.0079581,0.00358145,0.999993,0.000700274,0
P1727.P238.N71,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,17.2735,2.3826,-0.715685,0.0432141,0.0749934,0.0900944,0.0822337,0.0079049,0.0019354,0.0079049,0.0819096,-0.0052183,0.0019354,-0.0052183,0.0441586,0.0790907,-0.7079,0.701871,-0.149078,0.68776,0.710466,-0.985657,-0.160825,-0.051137,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1758.N308.P26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,17.5874,-3.08233,0.262606,0.100009,0.126088,0.363509,0.363446,-0.00166976,-0.00356289,-0.00166976,0.12073,0.0105713,-0.00356289,0.0105713,0.10543,0.00917425,-0.0130789,0.999872,-0.453847,-0.891048,-0.00749122,0.891032,-0.45372,-0.0141105,0
P1777.N387.N73,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,17.7776,-3.87148,-0.739768,0.0426773,0.0777782,0.107865,0.0790526,-0.00615082,-0.000930937,-0.00615082,0.106535,-0.00126939,-0.000930937,-0.00126939,0.0427336,0.029413,-0.977633,0.208249,0.022698,-0.207632,-0.977944,0.99931,0.0334911,0.0160833,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1850.P418.N73,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,18.5041,4.1877,-0.733982,0.0402263,0.0770318,0.105459,0.0804827,0.00988752,0.00432206,0.00988752,0.101513,-0.000288893,0.00432206,-0.000288893,0.0407213,0.112255,-0.921785,0.371094,-0.0227932,0.370968,0.928366,-0.993418,-0.112672,0.0206325,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1884.N794.N29,18.8442,-7.94788,-0.294622,0.00892098,0.0286509,0.221382,0.01587,0.00944098,0.0025528,0.00944098,0.0217572,0.00204671,0.0025528,0.00204671,0.221327,-0.805869,-0.591953,-0.0129188,0.592081,-0.805806,-0.0108623,0.00398012,0.0164026,-0.999858,18.9364,-7.91162,-0.288409,0.00902294,0.0322592,0.219164,0.0200395,0.0116008,0.00142051,0.0116008,0.0212528,-0.000205565,0.00142051,-0.000205565,0.219154,-0.725461,-0.688227,-0.0070973,0.688241,-0.725482,0.000622628,0.00557748,0.00443296,-0.999975,19.0176,-7.78971,-0.291395,0.0129692,0.0264925,0.22511,0.0192423,0.00674949,0.00247822,0.00674949,0.0202515,0.000599043,0.00247822,0.000599043,0.225078,-0.733684,-0.679382,-0.0121459,0.679458,-0.733707,-0.00332411,0.00665321,0.0106915,-0.999921,19.131,-7.61509,-0.242007,0.0138586,0.034238,0.223414,0.0247841,0.0102307,0.0025103,0.0102307,0.0234686,0.00485102,0.0025103,0.00485102,0.223258,-0.682418,-0.73083,-0.0139187,0.73091,-0.682017,-0.024964,-0.00875166,0.0272092,-0.999591,1
P1888.P741.P20,18.8817,7.41386,0.20264,0.0307638,0.0554885,0.129872,0.0387689,-0.011367,-0.0047276,-0.011367,0.0477693,-0.00239992,-0.0047276,-0.00239992,0.129586,0.826716,0.56048,-0.0490225,0.560103,-0.82812,-0.0224012,0.0531519,0.00893824,0.998546,19.1273,7.45789,0.199597,0.0338175,0.0570788,0.129526,0.0410545,-0.0106672,-0.00315218,-0.0106672,0.0499791,-0.0017809,-0.00315218,-0.0017809,0.129388,0.832084,0.55364,-0.0334471,0.553363,-0.832748,-0.0178868,0.0377559,0.00362507,0.99928,18.7941,7.59027,0.228647,0.0333823,0.0457679,0.127398,0.0346168,-0.00314972,-0.00631178,-0.00314972,0.0449908,0.00130672,-0.00631178,0.00130672,0.12694,0.965006,-0.253129,0.0684834,0.254905,0.96679,-0.0184346,0.0615427,-0.0352462,-0.997482,18.8476,7.70931,0.229322,0.0374459,0.0570379,0.131913,0.0502023,-0.00943545,-0.00245929,-0.00943545,0.0444264,0.00219177,-0.00245929,0.00219177,0.131768,0.594268,0.803575,-0.0333739,0.804261,-0.593586,0.0286276,-0.00319412,0.0438538,0.999033,1
P376.P778.P70,3.761,7.78935,0.705109,0.00313394,0.00822058,1.23778,0.00703174,0.00215223,0.00540162,0.00215223,0.00435613,-0.00345791,0.00540162,-0.00345791,1.23775,-0.488225,-0.872707,0.00438395,0.872706,-0.488238,-0.00279582,0.00458034,0.00246091,0.999986,4.01174,7.95449,0.718897,0.00387321,0.0183418,1.15167,0.0101241,0.00714909,0.00287517,0.00714909,0.0121388,-0.00683102,0.00287517,-0.00683102,1.15162,-0.753954,-0.656923,-0.00248116,0.656902,-0.753953,0.00597888,0.00579834,-0.00287792,-0.999979,3.73794,7.75664,0.605359,0.00283991,0.00866582,1.16143,0.00561434,0.00295234,-0.00829573,0.00295234,0.00598672,-0.00640937,-0.00829573,-0.00640937,1.16133,-0.730759,-0.682597,0.0071913,0.682634,-0.73074,0.00556526,-0.00145614,-0.00897589,-0.999959,3.67528,7.78069,0.60512,0.0047325,0.0185466,1.12688,0.0140796,0.00653687,0.00796316,0.00653687,0.00930737,0.00749646,0.00796316,0.00749646,1.12677,-0.572291,-0.820019,0.00719527,0.820049,-0.572253,0.00674957,-0.00141726,0.00976319,0.999951,1
P390.N790.N2,3.90675,-7.90169,-0.0280292,0.0179454,0.0332333,0.365746,0.0307793,-0.00561754,0.00178861,-0.00561754,0.02041,0.000628333,0.00178861,0.000628333,0.365736,-0.401414,0.915881,0.00531052,-0.915889,-0.401427,0.00173307,0.00371907,-0.00416817,0.999984,3.99369,-7.77643,-0.120076,0.0173409,0.0273321,0.376107,0.0259646,-0.00343242,-0.00144698,-0.00343242,0.0187247,-0.0019337,-0.00144698,-0.0019337,0.376091,-0.370741,0.928728,-0.0040798,-0.928714,-0.370759,-0.0053714,-0.00650119,0.00179756,0.999977,4.10234,-8.019,-0.051052,0.013869,0.0419585,0.346021,0.0204456,-0.0119287,0.00643725,-0.0119287,0.035619,-0.00559734,0.00643725,-0.00559734,0.345784,0.877724,0.478729,0.0204535,0.479082,-0.877568,-0.0188116,-0.0089437,-0.0263104,0.999614,4.20099,-7.95586,0.0638284,0.0147727,0.0424888,0.32069,0.0317525,-0.0136195,0.00600182,-0.0136195,0.0256986,-0.00409006,0.00600182,-0.00409006,0.3205,0.626093,0.779453,0.021465,0.779746,-0.62592,-0.0148513,-0.00185945,-0.0260356,0.999659,1
